💓专享央视,#genre#
CCTV1,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv1
CCTV2,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv2
CCTV3,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv3
CCTV4,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv4
CCTV5,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv5
CCTV5+,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv5p
CCTV6,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv6
CCTV7,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv7
CCTV8,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv8
CCTV9,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv9
CCTV10,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv10
CCTV11,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv11
CCTV12,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv12
CCTV13,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv13
CCTV14,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv14
CCTV15,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv15
CCTV17,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv17
CCTV1,https://smart.pendy.dpdns.org/Smart.php?id=cctv1
CCTV2,https://smart.pendy.dpdns.org/Smart.php?id=cctv2
CCTV3,https://smart.pendy.dpdns.org/Smart.php?id=cctv3
CCTV4,https://smart.pendy.dpdns.org/Smart.php?id=cctv4
CCTV5,https://smart.pendy.dpdns.org/Smart.php?id=cctv5
CCTV5+,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus
CCTV6,https://smart.pendy.dpdns.org/Smart.php?id=cctv6
CCTV7,https://smart.pendy.dpdns.org/Smart.php?id=cctv7
CCTV8,https://smart.pendy.dpdns.org/Smart.php?id=cctv8hd
CCTV9,https://smart.pendy.dpdns.org/Smart.php?id=cctv9hd
CCTV10,https://smart.pendy.dpdns.org/Smart.php?id=cctv10hd
CCTV11,https://smart.pendy.dpdns.org/Smart.php?id=cctv11
CCTV12,https://smart.pendy.dpdns.org/Smart.php?id=cctv12
CCTV13,https://smart.pendy.dpdns.org/Smart.php?id=cctv13
CCTV14,https://smart.pendy.dpdns.org/Smart.php?id=cctv14
CCTV15,https://smart.pendy.dpdns.org/Smart.php?id=cctv15
CCTV1,http://112.46.105.20:8009/hls/501/index.m3u8
CCTV2,http://112.46.105.20:8009/hls/502/index.m3u8
CCTV3,http://112.46.105.20:8009/hls/3/index.m3u8
CCTV4,http://112.46.105.20:8009/hls/4/index.m3u8
CCTV5,http://112.46.105.20:8009/hls/503/index.m3u8
CCTV6,http://112.46.105.20:8009/hls/6/index.m3u8
CCTV7,http://112.46.105.20:8009/hls/504/index.m3u8
CCTV8,http://112.46.105.20:8009/hls/8/index.m3u8
CCTV9,http://112.46.105.20:8009/hls/509/index.m3u8
CCTV10,http://112.46.105.20:8009/hls/506/index.m3u8
CCTV12,http://112.46.105.20:8009/hls/507/index.m3u8
CCTV1,http://112.132.10.54:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://112.132.10.54:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://112.132.10.54:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://112.132.10.54:9901/tsfile/live/0004_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://112.132.10.54:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://112.132.10.54:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://112.132.10.54:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://112.132.10.54:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://112.132.10.54:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://112.132.10.54:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://112.132.10.54:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://112.132.10.54:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://112.132.10.54:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://112.132.10.54:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://153.0.171.163:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://153.0.171.163:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://153.0.171.163:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://153.0.171.163:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://153.0.171.163:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://153.0.171.163:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://153.0.171.163:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://153.0.171.163:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://153.0.171.163:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://153.0.171.163:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://153.0.171.163:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://153.0.171.163:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://153.0.171.163:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://153.0.171.163:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://153.0.171.163:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV兵器科技,http://www.lizhinas.top:1009/rtp/239.252.219.98:5140
CCTV世界地理,http://www.lizhinas.top:1009/rtp/239.252.219.93:5140
CCTV风云足球,http://www.lizhinas.top:1009/rtp/239.252.219.96:5140
CCTV风云音乐,http://www.lizhinas.top:1009/rtp/239.252.219.87:5140
CCTV风云剧场,http://www.lizhinas.top:1009/rtp/239.252.219.89:5140
CCTV第一剧场,http://www.lizhinas.top:1009/rtp/239.252.219.86:5140
CCTV怀旧剧场,http://www.lizhinas.top:1009/rtp/239.252.219.90:5140
CCTV文化精品,http://www.lizhinas.top:1009/rtp/239.252.219.81:5140
CCTV女性时尚,http://www.lizhinas.top:1009/rtp/239.252.219.94:5140
CCTV央视台球,http://www.lizhinas.top:1009/rtp/239.252.219.80:5140
CCTV央视高网,http://www.lizhinas.top:1009/rtp/239.252.219.95:5140
CCTV电视指南,http://www.lizhinas.top:1009/rtp/239.252.219.97:5140
CCTV发现之旅,http://8.138.7.223/tv/migu.php?id=fxzl
CCTV老故事,http://8.138.7.223/tv/migu.php?id=lgs
CCTV中学生,http://8.138.7.223/tv/migu.php?id=zxs
CCTV第一剧场,http://www.xiaomo520.cn:4020/udp/239.252.219.86:5140
CCTV风云剧场,http://www.xiaomo520.cn:4020/udp/239.252.219.89:5140
CCTV怀旧剧场,http://www.xiaomo520.cn:4020/udp/239.252.219.90:5140
CCTV风云足球,http://www.xiaomo520.cn:4020/udp/239.252.219.96:5140
CCTV电视指南,http://www.xiaomo520.cn:4020/udp/239.252.219.97:5140
CCTV兵器科技,http://www.xiaomo520.cn:4020/udp/239.252.219.98:5140
